Image Number,Category,Annotator,Expertise Level,Host,Version,NGT,NO,Annotation TP (objects),Annotation FP (objects),Annotation FN (objects),Annotation TN (objects),Segmentation TP (pixels),Segmentation FP (pixels),Segmentation TN (pixels),Segmentation FN (pixels),Segmentation Jaccard,Segmentation Precision,Segmentation Recall,Segmentation F1-Score,Segmentation Accuracy,Objects IoU,Image IoU,Mean - Annotation Time per Annotation (seconds)
N21,Manual,Annotator2,Expert,thumper epfl server,QuPath v4,32.0,25.0,36.0,1.0,2.0,0.0,182133.0,61564.0,3932546.0,18061.0,0.69581,0.74737,0.90978,0.82062,0.98102,0.72036,0.69581,14.12
N07,SAM,Annotator4,Expert,thumper epfl server,QuPath v4,2.0,5.0,2.0,3.0,0.0,0.0,37295.0,13334.0,4141819.0,1856.0,0.71058,0.73663,0.95259,0.83081,0.99638,0.83858,0.71058,10.4
N13,SAM,Annotator4,Expert,thumper epfl server,QuPath v4,2.0,2.0,1.0,1.0,1.0,0.0,2347.0,1829.0,4189162.0,966.0,0.45644,0.56202,0.70842,0.62679,0.99933,0.752,0.45644,22.5
N08,SAM,Annotator4,Expert,thumper epfl server,QuPath v4,11.0,8.0,8.0,0.0,3.0,0.0,40734.0,7147.0,4125062.0,21361.0,0.58828,0.85073,0.65599,0.74078,0.9932,0.75832,0.58828,18.5
N18,SAM,Annotator4,Expert,thumper epfl server,QuPath v4,33.0,30.0,30.0,4.0,3.0,0.0,234366.0,141171.0,3797049.0,21718.0,0.58996,0.62408,0.91519,0.74211,0.96116,0.61484,0.58996,14.33333
N14,SAM,Annotator4,Expert,thumper epfl server,QuPath v4,6.0,9.0,6.0,3.0,0.0,0.0,26825.0,14199.0,4150491.0,2789.0,0.61226,0.65389,0.90582,0.75951,0.99595,0.76099,0.61226,15.88889
N10,SAM,Annotator4,Expert,thumper epfl server,QuPath v4,12.0,17.0,11.0,6.0,1.0,0.0,47932.0,24284.0,4114244.0,7844.0,0.5987,0.66373,0.85937,0.74898,0.99234,0.77236,0.5987,16.0
N16,SAM,Annotator4,Expert,thumper epfl server,QuPath v4,14.0,15.0,14.0,2.0,0.0,0.0,112027.0,38842.0,4034875.0,8560.0,0.70268,0.74254,0.92901,0.82538,0.9887,0.73611,0.70268,12.6
N15,SAM,Annotator4,Expert,thumper epfl server,QuPath v4,16.0,21.0,15.0,7.0,1.0,0.0,82521.0,61281.0,4045645.0,4857.0,0.5551,0.57385,0.94441,0.71391,0.98423,0.67959,0.5551,8.19048
N21,SAM,Annotator4,Expert,thumper epfl server,QuPath v4,32.0,29.0,36.0,5.0,0.0,0.0,195376.0,96795.0,3897315.0,4818.0,0.65786,0.6687,0.97593,0.79362,0.97577,0.70595,0.65786,8.2069
N06,SAM,Annotator4,Expert,thumper epfl server,QuPath v4,5.0,5.0,4.0,1.0,1.0,0.0,63962.0,6605.0,4115461.0,8276.0,0.81126,0.9064,0.88543,0.89579,0.99645,0.89187,0.81126,14.0
N20,SAM,Annotator4,Expert,thumper epfl server,QuPath v4,19.0,19.0,19.0,3.0,0.0,0.0,119938.0,35625.0,4033437.0,5304.0,0.74557,0.77099,0.95765,0.85424,0.99024,0.7876,0.74557,7.10526
N09,SAM,Annotator4,Expert,thumper epfl server,QuPath v4,13.0,14.0,12.0,2.0,1.0,0.0,60321.0,25835.0,4098191.0,9957.0,0.62761,0.70014,0.85832,0.7712,0.99147,0.74669,0.62761,6.71429
N12,SAM,Annotator4,Expert,thumper epfl server,QuPath v4,8.0,6.0,5.0,1.0,3.0,0.0,31425.0,15342.0,4137936.0,9601.0,0.5575,0.67195,0.76598,0.71589,0.99405,0.67467,0.5575,11.33333
N03,SAM,Annotator4,Expert,thumper epfl server,QuPath v4,1.0,3.0,1.0,2.0,0.0,0.0,17180.0,2567.0,4171908.0,2649.0,0.7671,0.87001,0.86641,0.8682,0.99876,0.85682,0.7671,7.33333
N11,SAM,Annotator4,Expert,thumper epfl server,QuPath v4,11.0,10.0,10.0,0.0,1.0,0.0,38193.0,7167.0,4140435.0,8509.0,0.709,0.842,0.8178,0.82972,0.99626,0.77645,0.709,6.9
N17,SAM,Annotator4,Expert,thumper epfl server,QuPath v4,29.0,24.0,28.0,3.0,1.0,0.0,188222.0,109794.0,3880762.0,15526.0,0.60031,0.63158,0.9238,0.75024,0.97012,0.63267,0.60031,7.45833
N19,SAM,Annotator4,Expert,thumper epfl server,QuPath v4,49.0,27.0,41.0,3.0,8.0,0.0,230215.0,164545.0,3781716.0,17828.0,0.55798,0.58318,0.92813,0.71628,0.95652,0.60818,0.55798,6.66667
N07,SAM,Annotator5,Expert,local MacBook Pro M3,QuPath v5,2.0,1.0,1.0,0.0,1.0,0.0,25011.0,2400.0,4152753.0,14140.0,0.60193,0.91244,0.63883,0.75151,0.99606,0.89061,0.60193,25.0
N13,SAM,Annotator5,Expert,local MacBook Pro M3,QuPath v5,2.0,1.0,1.0,0.0,1.0,0.0,2366.0,753.0,4190238.0,947.0,0.5819,0.75858,0.71416,0.7357,0.99959,0.75398,0.5819,30.0
N08,SAM,Annotator5,Expert,local MacBook Pro M3,QuPath v5,11.0,9.0,9.0,0.0,2.0,0.0,48911.0,9832.0,4122377.0,13184.0,0.68001,0.83263,0.78768,0.80953,0.99451,0.7457,0.68001,23.33333
N18,SAM,Annotator5,Expert,local MacBook Pro M3,QuPath v5,33.0,19.0,22.0,0.0,11.0,0.0,201152.0,68874.0,3869346.0,54932.0,0.61901,0.74494,0.78549,0.76468,0.97048,0.69649,0.61901,7.36842
N10,SAM,Annotator5,Expert,local MacBook Pro M3,QuPath v5,12.0,10.0,8.0,2.0,4.0,0.0,36357.0,15085.0,4123443.0,19419.0,0.51307,0.70676,0.65184,0.67819,0.99177,0.76964,0.51307,20.0
N16,SAM,Annotator5,Expert,local MacBook Pro M3,QuPath v5,14.0,12.0,13.0,0.0,1.0,0.0,103615.0,17140.0,4056577.0,16972.0,0.75232,0.85806,0.85926,0.85866,0.99187,0.7712,0.75232,22.5
N15,SAM,Annotator5,Expert,local MacBook Pro M3,QuPath v5,16.0,10.0,9.0,1.0,7.0,0.0,57494.0,9754.0,4097172.0,29884.0,0.59192,0.85495,0.65799,0.74365,0.99055,0.80476,0.59192,33.0
N21,SAM,Annotator5,Expert,local MacBook Pro M3,QuPath v5,32.0,13.0,21.0,0.0,12.0,0.0,141429.0,44317.0,3949793.0,58765.0,0.57842,0.76141,0.70646,0.73291,0.97542,0.73573,0.57842,10.0
N06,SAM,Annotator5,Expert,local MacBook Pro M3,QuPath v5,5.0,4.0,4.0,0.0,1.0,0.0,63137.0,1157.0,4120909.0,9101.0,0.86024,0.982,0.87401,0.92487,0.99755,0.90506,0.86024,12.5
N20,SAM,Annotator5,Expert,local MacBook Pro M3,QuPath v5,19.0,11.0,13.0,0.0,6.0,0.0,100921.0,13788.0,4055274.0,24321.0,0.72589,0.8798,0.80581,0.84118,0.99091,0.83074,0.72589,11.81818
