Image Number,Category,Annotator,Expertise Level,Host,Version,NGT,NO,Annotation TP (objects),Annotation FP (objects),Annotation FN (objects),Annotation TN (objects),Segmentation TP (pixels),Segmentation FP (pixels),Segmentation TN (pixels),Segmentation FN (pixels),Segmentation Jaccard,Segmentation Precision,Segmentation Recall,Segmentation F1-Score,Segmentation Accuracy,Objects IoU,Image IoU,Mean - Annotation Time per Annotation (seconds)
N08,SAM corrected,Annotator4,Expert,thumper epfl server,QuPath v4,11.0,13.0,11.0,2.0,0.0,0.0,55652.0,18825.0,4113384.0,6443.0,0.68774,0.74724,0.89624,0.81498,0.99398,0.73231,0.68774,13.69231
N12,SAM corrected,Annotator4,Expert,thumper epfl server,QuPath v4,8.0,7.0,6.0,1.0,2.0,0.0,34305.0,18262.0,4135016.0,6721.0,0.57862,0.6526,0.83618,0.73307,0.99404,0.70139,0.57862,14.28571
N14,SAM corrected,Annotator4,Expert,thumper epfl server,QuPath v4,6.0,6.0,6.0,0.0,0.0,0.0,27949.0,12969.0,4151721.0,1665.0,0.65634,0.68305,0.94378,0.79252,0.99651,0.65634,0.65634,12.5
N10,SAM corrected,Annotator4,Expert,thumper epfl server,QuPath v4,12.0,14.0,11.0,3.0,1.0,0.0,47884.0,19044.0,4119484.0,7892.0,0.63999,0.71546,0.85851,0.78048,0.99358,0.78613,0.63999,15.42857
N11,SAM corrected,Annotator4,Expert,thumper epfl server,QuPath v4,11.0,13.0,11.0,2.0,0.0,0.0,42516.0,25983.0,4121619.0,4186.0,0.58493,0.62068,0.91037,0.73812,0.99281,0.77285,0.58493,7.15385
N03,SAM corrected,Annotator4,Expert,thumper epfl server,QuPath v4,1.0,4.0,1.0,3.0,0.0,0.0,18397.0,4703.0,4169772.0,1432.0,0.74992,0.79641,0.92778,0.85709,0.99854,0.89632,0.74992,16.0
N07,SAM corrected,Annotator4,Expert,thumper epfl server,QuPath v4,2.0,4.0,2.0,2.0,0.0,0.0,37321.0,10731.0,4144422.0,1830.0,0.74819,0.77668,0.95326,0.85596,0.99701,0.81853,0.74819,3.0
N06,SAM corrected,Annotator4,Expert,thumper epfl server,QuPath v4,5.0,7.0,5.0,2.0,0.0,0.0,70256.0,7936.0,4114130.0,1982.0,0.87629,0.89851,0.97256,0.93407,0.99764,0.92669,0.87629,8.28571
N21,SAM corrected,Annotator4,Expert,thumper epfl server,QuPath v4,32.0,24.0,33.0,1.0,0.0,0.0,195110.0,80604.0,3913506.0,5084.0,0.69484,0.70765,0.9746,0.81995,0.97957,0.71528,0.69484,9.33333
N09,SAM corrected,Annotator4,Expert,thumper epfl server,QuPath v4,13.0,13.0,12.0,1.0,1.0,0.0,61234.0,23798.0,4100228.0,9044.0,0.6509,0.72013,0.87131,0.78854,0.99217,0.74022,0.6509,12.69231
N17,SAM corrected,Annotator5,Expert,local MacBook Pro M3,QuPath v5,29.0,13.0,18.0,1.0,11.0,0.0,137740.0,52322.0,3938234.0,66008.0,0.5379,0.72471,0.67603,0.69953,0.97179,0.7036,0.5379,15.76923
N19,SAM corrected,Annotator5,Expert,local MacBook Pro M3,QuPath v5,49.0,20.0,34.0,1.0,15.0,0.0,208323.0,103727.0,3842534.0,39720.0,0.59221,0.66759,0.83987,0.74389,0.9658,0.6793,0.59221,22.5
N20,SAM corrected,Annotator5,Expert,local MacBook Pro M3,QuPath v5,19.0,9.0,12.0,0.0,7.0,0.0,96581.0,13709.0,4055353.0,28661.0,0.69507,0.8757,0.77116,0.82011,0.9899,0.83564,0.69507,15.22222
N15,SAM corrected,Annotator5,Expert,local MacBook Pro M3,QuPath v5,16.0,8.0,8.0,0.0,8.0,0.0,56770.0,9795.0,4097131.0,30608.0,0.58422,0.85285,0.64971,0.73755,0.99037,0.80068,0.58422,16.875
N16,SAM corrected,Annotator5,Expert,local MacBook Pro M3,QuPath v5,14.0,9.0,9.0,0.0,5.0,0.0,96226.0,23442.0,4050275.0,24361.0,0.6681,0.80411,0.79798,0.80103,0.9886,0.76247,0.6681,23.33333
N13,SAM corrected,Annotator5,Expert,local MacBook Pro M3,QuPath v5,2.0,4.0,1.0,3.0,1.0,0.0,2259.0,6119.0,4184872.0,1054.0,0.2395,0.26963,0.68186,0.38645,0.99829,0.76524,0.2395,50.0
N18,SAM corrected,Annotator5,Expert,local MacBook Pro M3,QuPath v5,33.0,21.0,24.0,0.0,9.0,0.0,208837.0,67675.0,3870545.0,47247.0,0.64504,0.75525,0.8155,0.78422,0.9726,0.70132,0.64504,27.14286
N08,SAM corrected,Annotator5,Expert,local MacBook Pro M3,QuPath v5,11.0,7.0,8.0,0.0,3.0,0.0,36867.0,8427.0,4123782.0,25228.0,0.52277,0.81395,0.59372,0.68661,0.99198,0.67018,0.52277,38.57143
N12,SAM corrected,Annotator5,Expert,local MacBook Pro M3,QuPath v5,8.0,7.0,6.0,2.0,2.0,0.0,34517.0,21096.0,4132182.0,6509.0,0.55563,0.62066,0.84134,0.71435,0.99342,0.6864,0.55563,22.85714
N14,SAM corrected,Annotator5,Expert,local MacBook Pro M3,QuPath v5,6.0,5.0,5.0,0.0,1.0,0.0,22578.0,6757.0,4157933.0,7036.0,0.62077,0.76966,0.76241,0.76602,0.99671,0.66718,0.62077,14.0
N10,SAM corrected,Annotator5,Expert,local MacBook Pro M3,QuPath v5,12.0,11.0,9.0,2.0,3.0,0.0,44404.0,17236.0,4121292.0,11372.0,0.60817,0.72038,0.79611,0.75635,0.99318,0.79135,0.60817,8.18182
N11,SAM corrected,Annotator5,Expert,local MacBook Pro M3,QuPath v5,11.0,8.0,6.0,2.0,5.0,0.0,24036.0,10156.0,4137446.0,22666.0,0.42274,0.70297,0.51467,0.59426,0.99217,0.73372,0.42274,16.25
N03,SAM corrected,Annotator5,Expert,local MacBook Pro M3,QuPath v5,1.0,1.0,1.0,0.0,0.0,0.0,16464.0,21.0,4174454.0,3365.0,0.82942,0.99873,0.8303,0.90676,0.99919,0.82942,0.82942,25.0
N07,SAM corrected,Annotator5,Expert,local MacBook Pro M3,QuPath v5,2.0,1.0,1.0,0.0,1.0,0.0,25023.0,2415.0,4152738.0,14128.0,0.60201,0.91198,0.63914,0.75157,0.99606,0.89056,0.60201,15.0
N21,SAM corrected,Annotator5,Expert,local MacBook Pro M3,QuPath v5,32.0,12.0,21.0,0.0,12.0,0.0,142037.0,35514.0,3958596.0,58157.0,0.6026,0.79998,0.7095,0.75203,0.97767,0.7471,0.6026,12.5
N09,SAM corrected,Annotator5,Expert,local MacBook Pro M3,QuPath v5,13.0,12.0,9.0,3.0,4.0,0.0,45045.0,15109.0,4108917.0,25233.0,0.52754,0.74883,0.64095,0.6907,0.99038,0.75817,0.52754,23.33333
N17,SAM corrected,Annotator3,Expert,thumper epfl server,QuPath v4,29.0,15.0,20.0,1.0,9.0,0.0,137932.0,50816.0,3939740.0,65816.0,0.54184,0.73077,0.67697,0.70285,0.97219,0.66774,0.54184,13.0
N19,SAM corrected,Annotator3,Expert,thumper epfl server,QuPath v4,49.0,23.0,36.0,2.0,14.0,0.0,209908.0,106504.0,3839757.0,38135.0,0.59205,0.6634,0.84626,0.74375,0.96552,0.68485,0.59205,7.52174
N20,SAM corrected,Annotator3,Expert,thumper epfl server,QuPath v4,19.0,13.0,17.0,0.0,5.0,0.0,102579.0,12504.0,4056558.0,22663.0,0.7447,0.89135,0.81905,0.85367,0.99162,0.83291,0.7447,7.69231
N15,SAM corrected,Annotator3,Expert,thumper epfl server,QuPath v4,16.0,15.0,11.0,4.0,5.0,0.0,66270.0,24220.0,4082706.0,21108.0,0.59383,0.73235,0.75843,0.74516,0.98919,0.77888,0.59383,7.13333
N16,SAM corrected,Annotator3,Expert,thumper epfl server,QuPath v4,14.0,11.0,11.0,1.0,3.0,0.0,102737.0,23792.0,4049925.0,17850.0,0.71158,0.81196,0.85197,0.83149,0.99007,0.79645,0.71158,2.45455
N13,SAM corrected,Annotator3,Expert,thumper epfl server,QuPath v4,2.0,1.0,1.0,0.0,1.0,0.0,2350.0,777.0,4190214.0,963.0,0.57457,0.75152,0.70933,0.72981,0.99959,0.7432,0.57457,32.0
N18,SAM corrected,Annotator3,Expert,thumper epfl server,QuPath v4,33.0,22.0,24.0,2.0,12.0,0.0,191568.0,78403.0,3859817.0,64516.0,0.57272,0.70959,0.74807,0.72832,0.96593,0.68272,0.57272,3.27273
N08,SAM corrected,Annotator3,Expert,thumper epfl server,QuPath v4,11.0,9.0,9.0,0.0,2.0,0.0,48912.0,10145.0,4122064.0,13183.0,0.67708,0.82822,0.7877,0.80745,0.99444,0.73913,0.67708,5.11111
N12,SAM corrected,Annotator3,Expert,thumper epfl server,QuPath v4,8.0,6.0,6.0,0.0,2.0,0.0,33593.0,10162.0,4143116.0,7433.0,0.65627,0.76775,0.81882,0.79247,0.99581,0.74006,0.65627,2.66667
N14,SAM corrected,Annotator3,Expert,thumper epfl server,QuPath v4,6.0,6.0,6.0,0.0,0.0,0.0,26671.0,7350.0,4157340.0,2943.0,0.72154,0.78396,0.90062,0.83825,0.99755,0.72154,0.72154,9.33333
N10,SAM corrected,Annotator3,Expert,thumper epfl server,QuPath v4,12.0,13.0,9.0,4.0,3.0,0.0,38405.0,18915.0,4119613.0,17371.0,0.51419,0.67001,0.68856,0.67916,0.99135,0.77074,0.51419,5.38462
N11,SAM corrected,Annotator3,Expert,thumper epfl server,QuPath v4,11.0,10.0,10.0,0.0,1.0,0.0,39634.0,5478.0,4142124.0,7068.0,0.75956,0.87857,0.84866,0.86335,0.99701,0.78461,0.75956,4.5
N03,SAM corrected,Annotator3,Expert,thumper epfl server,QuPath v4,1.0,1.0,1.0,0.0,0.0,0.0,17466.0,144.0,4174331.0,2363.0,0.87448,0.99182,0.88083,0.93304,0.9994,0.87448,0.87448,17.0
N07,SAM corrected,Annotator3,Expert,thumper epfl server,QuPath v4,2.0,3.0,2.0,1.0,0.0,0.0,37159.0,6887.0,4148266.0,1992.0,0.80714,0.84364,0.94912,0.89328,0.99788,0.85127,0.80714,1.33333
N06,SAM corrected,Annotator3,Expert,thumper epfl server,QuPath v4,5.0,4.0,4.0,0.0,1.0,0.0,62533.0,1227.0,4120839.0,9705.0,0.85119,0.98076,0.86565,0.91962,0.99739,0.8955,0.85119,2.75
N21,SAM corrected,Annotator3,Expert,thumper epfl server,QuPath v4,32.0,20.0,30.0,0.0,5.0,0.0,177611.0,58577.0,3935533.0,22583.0,0.68636,0.75199,0.88719,0.81402,0.98065,0.72891,0.68636,4.45
N09,SAM corrected,Annotator3,Expert,thumper epfl server,QuPath v4,13.0,13.0,11.0,2.0,2.0,0.0,52499.0,27965.0,4096061.0,17779.0,0.53438,0.65245,0.74702,0.69654,0.98909,0.70028,0.53438,2.07692
N17,SAM corrected,Annotator2,Expert,thumper epfl server,QuPath v4,29.0,30.0,31.0,4.0,2.0,0.0,182153.0,79659.0,3910897.0,21595.0,0.64273,0.69574,0.89401,0.78251,0.97586,0.70481,0.64273,7.3
N19,SAM corrected,Annotator2,Expert,thumper epfl server,QuPath v4,49.0,34.0,47.0,3.0,10.0,0.0,221858.0,116320.0,3829941.0,26185.0,0.60889,0.65604,0.89443,0.75691,0.96602,0.68784,0.60889,7.73529
N20,SAM corrected,Annotator2,Expert,thumper epfl server,QuPath v4,19.0,13.0,15.0,0.0,4.0,0.0,109637.0,15248.0,4053814.0,15605.0,0.78039,0.8779,0.8754,0.87665,0.99264,0.83508,0.78039,2.69231
N15,SAM corrected,Annotator2,Expert,thumper epfl server,QuPath v4,16.0,9.0,9.0,0.0,7.0,0.0,60115.0,10503.0,4096423.0,27263.0,0.61416,0.85127,0.68799,0.76097,0.991,0.80013,0.61416,3.88889
N16,SAM corrected,Annotator2,Expert,thumper epfl server,QuPath v4,14.0,12.0,12.0,1.0,2.0,0.0,108707.0,26895.0,4046822.0,11880.0,0.73709,0.80166,0.90148,0.84865,0.99076,0.79859,0.73709,11.33333
N18,SAM corrected,Annotator2,Expert,thumper epfl server,QuPath v4,33.0,23.0,27.0,1.0,10.0,0.0,206945.0,78092.0,3860128.0,49139.0,0.61927,0.72603,0.80811,0.76488,0.96967,0.68998,0.61927,11.26087
N08,SAM corrected,Annotator2,Expert,thumper epfl server,QuPath v4,11.0,5.0,5.0,0.0,6.0,0.0,26683.0,4425.0,4127784.0,35412.0,0.40113,0.85775,0.42971,0.57258,0.9905,0.714,0.40113,7.6
N12,SAM corrected,Annotator2,Expert,thumper epfl server,QuPath v4,8.0,3.0,3.0,0.0,5.0,0.0,15158.0,8890.0,4144388.0,25868.0,0.30367,0.63032,0.36947,0.46587,0.99171,0.61892,0.30367,29.66667
N14,SAM corrected,Annotator2,Expert,thumper epfl server,QuPath v4,6.0,3.0,3.0,0.0,3.0,0.0,9174.0,868.0,4163822.0,20440.0,0.30096,0.91356,0.30979,0.46268,0.99492,0.76202,0.30096,10.33333
N10,SAM corrected,Annotator2,Expert,thumper epfl server,QuPath v4,12.0,9.0,9.0,0.0,3.0,0.0,39957.0,7526.0,4131002.0,15819.0,0.63121,0.8415,0.71638,0.77392,0.99443,0.77447,0.63121,7.11111
N11,SAM corrected,Annotator2,Expert,thumper epfl server,QuPath v4,11.0,10.0,9.0,1.0,2.0,0.0,36998.0,7767.0,4139835.0,9704.0,0.67925,0.82649,0.79221,0.80899,0.99583,0.80319,0.67925,4.0
N03,SAM corrected,Annotator2,Expert,thumper epfl server,QuPath v4,1.0,1.0,1.0,0.0,0.0,0.0,17412.0,280.0,4174195.0,2417.0,0.86588,0.98417,0.87811,0.92812,0.99936,0.86588,0.86588,4.0
N07,SAM corrected,Annotator2,Expert,thumper epfl server,QuPath v4,2.0,2.0,2.0,0.0,0.0,0.0,37146.0,4667.0,4150486.0,2005.0,0.84773,0.88838,0.94879,0.91759,0.99841,0.84773,0.84773,4.0
N06,SAM corrected,Annotator2,Expert,thumper epfl server,QuPath v4,5.0,4.0,4.0,0.0,1.0,0.0,62956.0,1312.0,4120754.0,9282.0,0.85596,0.97959,0.87151,0.92239,0.99747,0.90046,0.85596,3.25
N21,SAM corrected,Annotator2,Expert,thumper epfl server,QuPath v4,32.0,23.0,33.0,1.0,3.0,0.0,181750.0,53403.0,3940707.0,18444.0,0.71669,0.7729,0.90787,0.83497,0.98287,0.74719,0.71669,3.6087
N09,SAM corrected,Annotator2,Expert,thumper epfl server,QuPath v4,13.0,8.0,7.0,1.0,6.0,0.0,40000.0,21194.0,4102832.0,30278.0,0.43729,0.65366,0.56917,0.60849,0.98773,0.72089,0.43729,15.75
N03,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,1.0,1.0,1.0,0.0,0.0,0.0,19829.0,0.0,4174475.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0
N06,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,5.0,5.0,5.0,0.0,0.0,0.0,72238.0,0.0,4122066.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.4
N07,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,2.0,2.0,2.0,0.0,0.0,0.0,39151.0,0.0,4155153.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.5
N08,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,11.0,11.0,0.0,0.0,0.0,62095.0,0.0,4132209.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.36364
N09,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,13.0,13.0,13.0,0.0,0.0,0.0,70278.0,0.0,4124026.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.61538
N10,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,12.0,12.0,12.0,0.0,0.0,0.0,55776.0,0.0,4138528.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.83333
N11,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,11.0,11.0,0.0,0.0,0.0,46702.0,0.0,4147602.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.72727
N12,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,8.0,8.0,8.0,0.0,0.0,0.0,41026.0,0.0,4153278.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.5
N13,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,2.0,2.0,2.0,0.0,0.0,0.0,3313.0,0.0,4190991.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0
N14,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,6.0,6.0,6.0,0.0,0.0,0.0,29614.0,0.0,4164690.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.5
N15,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,16.0,16.0,16.0,0.0,0.0,0.0,87378.0,0.0,4106926.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.1875
N16,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,14.0,14.0,14.0,0.0,0.0,0.0,120587.0,0.0,4073717.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0
N17,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,29.0,29.0,29.0,0.0,0.0,0.0,203748.0,0.0,3990556.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.96552
N18,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,33.0,33.0,33.0,0.0,0.0,0.0,256084.0,0.0,3938220.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.9697
N19,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,49.0,49.0,49.0,0.0,0.0,0.0,248043.0,0.0,3946261.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.08163
N20,Manual,Annotator1,Ground truth,paperino epfl server,QuPath v4,19.0,19.0,19.0,0.0,0.0,0.0,125242.0,0.0,4069062.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.57895
N07,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,2.0,2.0,2.0,0.0,0.0,0.0,37459.0,5584.0,4149569.0,1692.0,0.83735,0.87027,0.95678,0.91148,0.99827,0.83735,0.83735,15.0
N08,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,10.0,9.0,1.0,2.0,0.0,42405.0,11453.0,4120756.0,19690.0,0.57656,0.78735,0.68291,0.73142,0.99257,0.69467,0.57656,11.2
N18,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,33.0,32.0,33.0,2.0,5.0,0.0,212452.0,76650.0,3861570.0,43632.0,0.6385,0.73487,0.82962,0.77937,0.97132,0.69309,0.6385,4.6875
N14,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,6.0,5.0,4.0,1.0,2.0,0.0,21947.0,8923.0,4155767.0,7667.0,0.5695,0.71095,0.7411,0.72571,0.99604,0.76369,0.5695,10.0
N10,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,12.0,11.0,10.0,1.0,2.0,0.0,42648.0,11927.0,4126601.0,13128.0,0.62993,0.78146,0.76463,0.77295,0.99403,0.76694,0.62993,10.63636
N16,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,14.0,14.0,14.0,1.0,0.0,0.0,110294.0,25571.0,4048146.0,10293.0,0.75462,0.81179,0.91464,0.86015,0.99145,0.7853,0.75462,8.78571
N15,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,16.0,15.0,12.0,3.0,4.0,0.0,74515.0,26181.0,4080745.0,12863.0,0.65618,0.74,0.85279,0.7924,0.99069,0.75286,0.65618,5.33333
N21,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,32.0,28.0,38.0,0.0,1.0,0.0,187271.0,57887.0,3936223.0,12923.0,0.72563,0.76388,0.93545,0.841,0.98312,0.73206,0.72563,5.35714
N06,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,5.0,5.0,5.0,0.0,0.0,0.0,68616.0,2986.0,4119080.0,3622.0,0.91216,0.9583,0.94986,0.95406,0.99842,0.91216,0.91216,8.2
N20,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,19.0,18.0,20.0,1.0,1.0,0.0,116320.0,24794.0,4044268.0,8922.0,0.77528,0.8243,0.92876,0.87342,0.99196,0.81471,0.77528,4.61111
N09,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,13.0,14.0,12.0,2.0,1.0,0.0,58682.0,11850.0,4112176.0,11596.0,0.71452,0.83199,0.835,0.83349,0.99441,0.77081,0.71452,7.78571
N12,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,8.0,7.0,7.0,0.0,1.0,0.0,37122.0,8478.0,4144800.0,3904.0,0.74988,0.81408,0.90484,0.85706,0.99705,0.77666,0.74988,6.57143
N03,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,1.0,1.0,1.0,0.0,0.0,0.0,17446.0,543.0,4173932.0,2383.0,0.85637,0.96981,0.87982,0.92263,0.9993,0.85637,0.85637,20.0
N11,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,14.0,11.0,3.0,0.0,0.0,41821.0,13541.0,4134061.0,4881.0,0.69421,0.75541,0.89549,0.81951,0.99561,0.78694,0.69421,8.35714
N17,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,29.0,28.0,26.0,6.0,6.0,0.0,153763.0,44438.0,3946118.0,49985.0,0.61955,0.77579,0.75467,0.76509,0.97749,0.74406,0.61955,6.75
N19,SAM,Annotator1,Ground truth,paperino epfl server,QuPath v4,49.0,28.0,40.0,1.0,16.0,0.0,208453.0,88877.0,3857384.0,39590.0,0.6187,0.70108,0.84039,0.76444,0.96937,0.70493,0.6187,4.64286
N17,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,29.0,25.0,28.0,2.0,5.0,0.0,167483.0,64509.0,3926047.0,36265.0,0.62434,0.72193,0.82201,0.76873,0.97597,0.69873,0.62434,17.28
N19,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,49.0,37.0,48.0,4.0,8.0,0.0,215262.0,109036.0,3837225.0,32781.0,0.60284,0.66378,0.86784,0.75222,0.96619,0.66633,0.60284,4.64865
N20,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,19.0,16.0,18.0,0.0,2.0,0.0,111828.0,20432.0,4048630.0,13414.0,0.76766,0.84552,0.8929,0.86856,0.99193,0.79207,0.76766,5.75
N15,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,16.0,11.0,10.0,1.0,6.0,0.0,66513.0,18301.0,4088625.0,20865.0,0.62939,0.78422,0.76121,0.77254,0.99066,0.76761,0.62939,5.45455
N16,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,14.0,13.0,15.0,0.0,2.0,0.0,106385.0,17354.0,4056363.0,14202.0,0.77124,0.85975,0.88223,0.87084,0.99248,0.80455,0.77124,6.53846
N18,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,33.0,26.0,28.0,1.0,9.0,0.0,206667.0,62743.0,3875477.0,49417.0,0.64821,0.76711,0.80703,0.78656,0.97326,0.72161,0.64821,10.42308
N08,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,12.0,10.0,2.0,1.0,0.0,45375.0,12487.0,4119722.0,16720.0,0.60839,0.78419,0.73074,0.75652,0.99304,0.69637,0.60839,8.0
N12,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,8.0,7.0,7.0,0.0,1.0,0.0,33266.0,4545.0,4148733.0,7760.0,0.72998,0.8798,0.81085,0.84392,0.99707,0.77684,0.72998,7.14286
N14,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,6.0,6.0,6.0,0.0,1.0,0.0,25305.0,6169.0,4158521.0,4309.0,0.70718,0.804,0.85449,0.82848,0.9975,0.7523,0.70718,15.83333
N10,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,12.0,17.0,11.0,6.0,1.0,0.0,47314.0,21846.0,4116682.0,8462.0,0.60954,0.68412,0.84829,0.75741,0.99277,0.78501,0.60954,13.35294
N11,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,11.0,15.0,11.0,4.0,0.0,0.0,42220.0,16537.0,4131065.0,4482.0,0.66763,0.71855,0.90403,0.80069,0.99499,0.7822,0.66763,7.8
N03,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,1.0,1.0,1.0,0.0,0.0,0.0,17102.0,42.0,4174433.0,2727.0,0.86065,0.99755,0.86247,0.92511,0.99934,0.86065,0.86065,15.0
N07,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,2.0,2.0,2.0,0.0,0.0,0.0,37401.0,6972.0,4148181.0,1750.0,0.8109,0.84288,0.9553,0.89557,0.99792,0.8109,0.8109,7.5
N06,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,5.0,4.0,4.0,0.0,1.0,0.0,67325.0,4020.0,4118046.0,4913.0,0.88286,0.94365,0.93199,0.93779,0.99787,0.92705,0.88286,12.5
N21,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,32.0,24.0,33.0,0.0,4.0,0.0,149085.0,48653.0,3945457.0,51109.0,0.5991,0.75395,0.7447,0.7493,0.97621,0.71097,0.5991,4.20833
N09,SAM corrected,Annotator1,Ground truth,paperino epfl server,QuPath v4,13.0,12.0,12.0,0.0,1.0,0.0,57543.0,10058.0,4113968.0,12735.0,0.71628,0.85122,0.81879,0.83469,0.99457,0.73145,0.71628,6.0
N03,Manual,Annotator7,Non expert,thumper epfl server,QuPath v4,1.0,1.0,1.0,0.0,0.0,0.0,13503.0,274.0,4174201.0,6326.0,0.67169,0.98011,0.68097,0.80361,0.99843,0.67169,0.67169,45.0
N06,Manual,Annotator7,Non expert,thumper epfl server,QuPath v4,5.0,3.0,3.0,0.0,2.0,0.0,43151.0,871.0,4121195.0,29087.0,0.59023,0.98021,0.59734,0.74232,0.99286,0.88933,0.59023,18.33333
N07,Manual,Annotator7,Non expert,thumper epfl server,QuPath v4,2.0,1.0,1.0,0.0,1.0,0.0,24839.0,2203.0,4152950.0,14312.0,0.60064,0.91853,0.63444,0.7505,0.99606,0.89073,0.60064,40.0
N08,Manual,Annotator7,Non expert,thumper epfl server,QuPath v4,11.0,8.0,7.0,1.0,4.0,0.0,35955.0,8220.0,4123989.0,26140.0,0.51134,0.81392,0.57903,0.67667,0.99181,0.66771,0.51134,32.5
N09,Manual,Annotator7,Non expert,thumper epfl server,QuPath v4,13.0,8.0,8.0,0.0,5.0,0.0,45957.0,3829.0,4120197.0,24321.0,0.62014,0.92309,0.65393,0.76554,0.99329,0.78397,0.62014,31.875
N10,Manual,Annotator7,Non expert,thumper epfl server,QuPath v4,12.0,9.0,8.0,1.0,4.0,0.0,36704.0,8264.0,4130264.0,19072.0,0.57314,0.81622,0.65806,0.72866,0.99348,0.80247,0.57314,32.88889
N11,Manual,Annotator7,Non expert,thumper epfl server,QuPath v4,11.0,7.0,7.0,0.0,4.0,0.0,33730.0,6398.0,4141204.0,12972.0,0.63522,0.84056,0.72224,0.77692,0.99538,0.77653,0.63522,42.57143
N12,Manual,Annotator7,Non expert,thumper epfl server,QuPath v4,8.0,4.0,4.0,0.0,4.0,0.0,24850.0,5676.0,4147602.0,16176.0,0.5321,0.81406,0.60571,0.6946,0.99479,0.79686,0.5321,50.75
N14,Manual,Annotator7,Non expert,thumper epfl server,QuPath v4,6.0,2.0,2.0,0.0,4.0,0.0,7634.0,1637.0,4163053.0,21980.0,0.24428,0.82343,0.25778,0.39264,0.99437,0.70133,0.24428,56.0
